Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
A.E. Hernstein,1905,1905,Purdue,1,8,6,1,1,0.813,0,0,0,0,
Reggie Herring,2007,2007,Arkansas,1,1,0,1,0,0,1,0,1,0,0
James Herron,1922,1925,Duke,2,16,5,9,2,0.375,0,0,0,0,
Pat Herron,1926,1928,Washington & Lee,3,28,10,15,3,0.411,0,0,0,0,
Bill Hess,1962,1977,Ohio,16,166,80,83,3,0.491,2,0,2,0,0
Jim Hess,1990,1996,New Mexico State,7,77,22,55,0,0.286,0,0,0,0,
Harvey Hester,1915,1915,Wofford,1,8,3,5,0,0.375,0,0,0,0,
Willie Heston,1905,1905,Drake,1,8,4,4,0,0.5,0,0,0,0,
Josh Heupel,2018,2019,Central Florida,2,26,22,4,0,0.846,2,1,1,0,0.5
James Hickey,1959,1966,North Carolina,8,81,36,45,0,0.444,1,1,0,0,1
Herman Hickman,1948,1951,Yale,4,35,16,17,2,0.486,0,0,0,0,
William Hickok,1896,1896,Carlisle,1,10,5,5,0,0.5,0,0,0,0,
Bob Hicks,1957,1957,Indiana,1,9,1,8,0,0.111,0,0,0,0,
Bob Higgins,1925,1948,Penn State,22,184,99,71,14,0.576,1,0,0,1,0.5
Patrick Higgins,2012,2012,Purdue,1,1,0,1,0,0,1,0,1,0,0
Billy Hildebrand,1960,1963,Wake Forest,4,40,7,33,0,0.175,0,0,0,0,
Fitz Hill,2001,2004,San Jose State,4,47,14,33,0,0.298,0,0,0,0,
Jess Hill,1951,1956,Southern California,6,63,45,17,1,0.722,2,1,1,0,0.5
Pat Hill,1997,2011,Fresno State,15,192,112,80,0,0.583,11,4,7,0,0.364
Jim Hilles,1986,1986,Wisconsin,1,12,3,9,0,0.25,0,0,0,0,
Gerald Hines,1931,1939,New Mexico State,9,84,46,31,7,0.589,1,0,0,1,0.5
Frank Hinkey,1914,1915,Yale,2,18,11,7,0,0.611,0,0,0,0,
William Hoag,1896,1901,Bates,2,16,8,6,2,0.563,0,0,0,0,
Homer Hobbs,1955,1957,Furman,3,30,6,24,0,0.2,0,0,0,0,
Terry Hoeppner,1999,2006,Indiana,8,96,57,39,0,0.594,2,1,1,0,0.5
