Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Eli Abbott,1902,1902,Alabama,1,8,4,4,0,0.5,0,0,0,0,
Earl Abell,1928,1930,Virginia,3,28,14,12,2,0.536,0,0,0,0,
Earl Able,1923,1924,Mississippi State,2,18,10,6,2,0.611,0,0,0,0,
George Adams,1890,1892,Harvard,3,36,34,2,0,0.944,0,0,0,0,
Hobbs Adams,1940,1946,Kansas State,3,27,4,21,2,0.185,0,0,0,0,
Steve Addazio,2011,2019,Boston College,9,112,57,55,0,0.509,5,2,3,0,0.4
Alex Agase,1964,1976,Purdue,13,135,50,83,2,0.378,0,0,0,0,
Phil Ahwesh,1949,1949,Duquesne,1,9,3,6,0,0.333,0,0,0,0,
Jim Aiken,1946,1950,Oregon,5,50,28,22,0,0.56,1,0,1,0,0
Fred Akers,1975,1990,Purdue,16,186,108,75,3,0.589,10,2,8,0,0.2
Robb Akey,2007,2012,Idaho,6,70,20,50,0,0.286,1,1,0,0,1
Ray Alborn,1978,1983,Rice,6,66,13,53,0,0.197,0,0,0,0,
Luman Aldrich,1877,1877,Tufts,1,3,0,3,0,0,0,0,0,0,
S.M. Alexander,1923,1923,Duke,1,9,5,4,0,0.556,0,0,0,0,
William Alexander,1920,1944,Georgia Tech,25,244,134,95,15,0.58,5,3,2,0,0.6
George Allen,1927,1932,Colorado Mines,6,42,9,32,1,0.226,0,0,0,0,
George Allen,1990,1990,Long Beach State,1,11,6,5,0,0.545,0,0,0,0,
Phog Allen,1920,1920,Kansas,1,8,5,2,1,0.688,0,0,0,0,
Pokey Allen,1996,1996,Boise State,1,2,1,1,0,0.5,0,0,0,0,
Terry Allen,1997,2001,Kansas,5,53,20,33,0,0.377,0,0,0,0,
Tom Allen,2016,2019,Indiana,4,38,18,20,0,0.474,2,0,2,0,0
Dave Allerdice,1911,1915,Texas,5,40,33,7,0,0.825,0,0,0,0,
Tom Alley,1973,1974,Louisville,2,22,9,13,0,0.409,0,0,0,0,
Stub Allison,1920,1944,California,11,108,59,47,2,0.556,1,1,0,0,1
Billy Alton,1981,1981,Texas-El Paso,1,9,1,8,0,0.111,0,0,0,0,
Barry Alvarez,1990,2014,Wisconsin,18,197,118,75,4,0.609,13,9,4,0,0.692
Chuck Amato,2000,2006,North Carolina State,7,86,49,37,0,0.57,5,4,1,0,0.8
Paul Amen,1956,1959,Wake Forest,4,40,11,26,3,0.313,0,0,0,0,
Knowlton Ames,1892,1892,Purdue,1,18,13,3,2,0.778,0,0,0,0,
William Amos,1929,1931,Washington & Jefferson,3,28,17,8,3,0.661,0,0,0,0,
Tom Amstutz,2001,2008,Toledo,8,99,58,41,0,0.586,4,2,2,0,0.5
Gary Andersen,2009,2019,Oregon State,10,119,59,60,0,0.496,4,1,3,0,0.25
Blake Anderson,2014,2019,Arkansas State,6,77,47,30,0,0.61,6,2,4,0,0.333
Dick Anderson,1984,1989,Rutgers,6,65,27,34,4,0.446,0,0,0,0,
Edward Anderson,1938,1964,Iowa,24,225,125,94,6,0.569,0,0,0,0,
Frank Anderson,1919,1919,Mississippi College,1,9,3,5,1,0.389,0,0,0,0,
Frank Anderson,1919,1920,Oglethorpe,2,18,6,10,2,0.389,0,0,0,0,
Harry Anderson,1965,1968,San Jose State,4,39,13,26,0,0.333,0,0,0,0,
Hunk Anderson,1931,1936,North Carolina State,6,56,27,26,3,0.509,0,0,0,0,
John Anderson,1918,1981,Brown,10,89,52,34,3,0.601,0,0,0,0,
Lew Andreas,1927,1929,Syracuse,3,28,15,10,3,0.589,0,0,0,0,
W. Gresham Andrews,1913,1913,Princeton,1,8,5,2,1,0.688,0,0,0,0,
Dee Andros,1962,1975,Oregon State,14,144,62,80,2,0.438,0,0,0,0,
Moe Ankney,1986,1990,Bowling Green State,5,54,20,31,3,0.398,0,0,0,0,
William Ankney,1963,1964,Dayton,2,20,4,14,2,0.25,0,0,0,0,
Major Applewhite,2016,2018,Houston,3,26,15,11,0,0.577,3,0,3,0,0
Garrett Arbelbide,1937,1939,Northern Arizona,3,27,8,17,2,0.333,0,0,0,0,
Phillip Arbuckle,1914,1923,Rice,9,75,44,23,8,0.64,0,0,0,0,
Mike Archer,1987,1990,Louisiana State,4,46,27,18,1,0.598,2,1,1,0,0.5
Bruce Arians,1983,1988,Temple,6,66,27,39,0,0.409,0,0,0,0,
Ike Armstrong,1925,1949,Utah,25,211,141,55,15,0.704,1,1,0,0,1
Bill Arnsparger,1984,1986,Louisiana State,3,36,26,8,2,0.75,3,0,3,0,0
Dave Arslanian,1998,1999,Utah State,2,22,7,15,0,0.318,0,0,0,0,
Sarkis Arslanian,1973,1981,Colorado State,9,96,45,47,4,0.49,0,0,0,0,
Tom Arth,2019,2019,Akron,1,12,0,12,0,0,0,0,0,0,
Chris Ash,2016,2019,Rutgers,4,40,8,32,0,0.2,0,0,0,0,
Charles Atkinson,1949,1955,Brigham Young,7,70,18,49,3,0.279,0,0,0,0,
Chris Ault,1992,2012,Nevada,12,151,95,56,0,0.629,10,2,8,0,0.2
Joe Avezzano,1980,1984,Oregon State,5,55,6,47,2,0.127,0,0,0,0,
Dino Babers,2014,2019,Syracuse,6,76,41,35,0,0.539,2,2,0,0,1
Joe Bach,1934,1934,Duquesne,1,10,8,2,0,0.8,0,0,0,0,
Charlie Bachman,1919,1946,Michigan State,27,234,132,80,22,0.611,1,0,1,0,0
Walter Bachman,1905,1906,Texas A&M,2,16,13,3,0,0.813,0,0,0,0,
A.H. Badenoch,1918,1918,Stanford,1,4,0,4,0,0,0,0,0,0,
Chuck Baer,1945,1950,Detroit Mercy,6,57,35,21,1,0.623,0,0,0,0,
Kent Baer,2004,2012,San Jose State,2,2,1,1,0,0.5,2,1,1,0,0.5
Enoch Bagshaw,1921,1929,Washington,9,91,64,21,6,0.736,2,0,1,1,0.25
Charlie Bailey,1986,1999,Texas-El Paso,10,106,31,73,2,0.302,0,0,0,0,
David Bailiff,2007,2017,Rice,11,137,57,80,0,0.416,4,3,1,0,0.75
A.G. Baillet,1892,1892,Tufts,1,10,8,2,0,0.8,0,0,0,0,
Art Baker,1973,1988,East Carolina,13,143,64,74,5,0.465,0,0,0,0,
Edward Baker,1940,1940,Carnegie Mellon,1,8,3,5,0,0.375,0,0,0,0,
John Baker,1942,1952,Denver,6,61,23,36,2,0.393,0,0,0,0,
Dave Baldwin,1997,2014,Colorado State,5,46,18,28,0,0.391,1,0,1,0,0
James Baldwin,1922,1927,Wake Forest,4,38,16,17,5,0.487,0,0,0,0,
Jerry Baldwin,1999,2001,Louisiana,3,33,6,27,0,0.182,0,0,0,0,
D.M. Balliet,1893,1901,Purdue,4,34,22,10,2,0.676,0,0,0,0,
Ted Bank,1935,1940,Idaho,6,54,18,32,4,0.37,0,0,0,0,
Laurence Bankart,1910,1916,Colgate,5,38,28,7,3,0.776,0,0,0,0,
Chuck Banker,1986,1986,Iowa State,1,2,1,1,0,0.5,0,0,0,0,
Jeff Banks,2017,2017,Texas A&M,1,1,0,1,0,0,1,0,1,0,0
Mark Banks,1918,1925,Tennessee,8,67,38,25,4,0.597,0,0,0,0,
W.H. Bannard,1898,1898,Northwestern,1,14,9,4,1,0.679,0,0,0,0,
Frank Barbour,1892,1893,Michigan,2,22,14,8,0,0.636,0,0,0,0,
George Barclay,1908,1955,North Carolina,7,70,34,32,4,0.514,1,0,1,0,0
Doug Barfield,1976,1980,Auburn,5,55,27,27,1,0.5,0,0,0,0,
George Barlow,2011,2011,New Mexico,1,8,1,7,0,0.125,0,0,0,0,
Charles Barnard,1904,1904,Georgia,1,6,1,5,0,0.167,0,0,0,0,
Bill Barnes,1958,1964,UCLA,7,68,31,34,3,0.478,1,0,1,0,0
Willis Barnes,1942,1946,New Mexico,4,39,16,18,5,0.474,2,1,0,1,0.75
Gary Barnett,1992,2005,Colorado,14,168,84,83,1,0.503,6,2,4,0,0.333
John Barnhill,1941,1949,Arkansas,8,81,54,22,5,0.698,4,2,1,1,0.625
Danny Barrett,2015,2015,Central Florida,1,4,0,4,0,0,0,0,0,0,
Irving Barron,1918,1918,Colorado Mines,1,4,4,0,0,1,0,0,0,0,
Sam Barry,1941,1941,Southern California,1,9,2,6,1,0.278,0,0,0,0,
Tom Barry,1908,1910,Wisconsin,3,16,9,4,3,0.656,0,0,0,0,
Doby Bartling,1945,1945,Vanderbilt,1,9,3,6,0,0.333,0,0,0,0,
Gil Bartosh,1974,1976,Texas-El Paso,3,34,6,28,0,0.176,0,0,0,0,
Marvin Bass,1951,1965,South Carolina,6,60,24,32,4,0.433,0,0,0,0,
John Bateman,1960,1972,Rutgers,13,124,73,51,0,0.589,0,0,0,0,
Billy Bates,1903,1903,Auburn,1,7,4,3,0,0.571,0,0,0,0,
Charlie Bates,1977,1977,Southern,1,7,3,3,1,0.5,0,0,0,0,
W.P. Bates,1904,1904,Franklin & Marshall,1,10,0,10,0,0,0,0,0,0,
Mike Bath,2013,2013,Miami (OH),1,7,0,7,0,0,0,0,0,0,
Bill Battle,1970,1976,Tennessee,7,83,59,22,2,0.723,5,4,1,0,0.8
Sammy Baugh,1955,1959,Hardin-Simmons,5,51,23,28,0,0.451,1,0,1,0,0
Reaves Baysinger,1947,1948,Syracuse,2,18,4,14,0,0.222,0,0,0,0,
Joseph Beacham,1896,1911,Army,2,17,11,4,2,0.706,0,0,0,0,
Bill Beall,1969,1971,Baylor,3,31,3,28,0,0.097,0,0,0,0,
Frank Beamer,1987,2015,Virginia Tech,29,361,238,121,2,0.662,23,11,12,0,0.478
Ernest Bearg,1925,1935,Washburn,5,43,27,13,3,0.663,0,0,0,0,
David Beaty,2015,2018,Kansas,4,48,6,42,0,0.125,0,0,0,0,
Tim Beckman,2009,2014,Illinois,6,74,33,41,0,0.446,2,0,2,0,0
Joe Bedenk,1949,1949,Penn State,1,9,5,4,0,0.556,0,0,0,0,
Dick Bedesem,1975,1980,Villanova,6,66,30,35,1,0.462,0,0,0,0,
Larry Beightol,1979,1979,Louisiana Tech,1,10,1,9,0,0.1,0,0,0,0,
Alex Bell,1960,1966,Villanova,7,65,35,30,0,0.538,2,1,1,0,0.5
Madison Bell,1923,1949,Southern Methodist,23,230,136,78,16,0.626,3,1,1,1,0.5
Richard Bell,1982,1982,South Carolina,1,11,4,7,0,0.364,0,0,0,0,
Walt Bell,2019,2019,Massachusetts,1,12,1,11,0,0.083,0,0,0,0,
Emory Bellard,1972,1985,Mississippi State,14,154,85,69,0,0.552,5,2,3,0,0.4
Mike Bellotti,1995,2008,Oregon,14,171,116,55,0,0.678,12,6,6,0,0.5
John Bender,1908,1920,Tennessee,6,53,31,16,6,0.642,0,0,0,0,
Chet Benefiel,1939,1940,Tulsa,2,20,11,8,1,0.575,0,0,0,0,
Christie Benet,1909,1909,South Carolina,1,8,2,6,0,0.25,0,0,0,0,
M.S. Bennett,1923,1928,Sewanee,6,54,20,32,2,0.389,0,0,0,0,
Phil Bennett,2002,2010,Pittsburgh,7,71,19,52,0,0.268,1,1,0,0,1
Fred Bennion,1910,1913,Utah,4,27,16,8,3,0.648,0,0,0,0,
Martin Bergen,1902,1905,Grinnell,3,30,14,13,3,0.517,0,0,0,0,
Jerry Berndt,1981,1992,Temple,8,87,18,69,0,0.207,0,0,0,0,
Charles Bernier,1917,1938,Hampden-Sydney,5,42,23,17,2,0.571,0,0,0,0,
Frank Berrien,1908,1910,Navy,3,29,21,5,3,0.776,0,0,0,0,
T. Berry,1904,1904,Tulane,1,7,5,2,0,0.714,0,0,0,0,
Todd Berry,2000,2015,Louisiana-Monroe,10,114,34,80,0,0.298,1,0,1,0,0
Tom Berry,1911,1911,Denver,1,8,5,2,1,0.688,0,0,0,0,
Punk Berryman,1917,1917,Lafayette,1,8,3,5,0,0.375,0,0,0,0,
Charles Best,1902,1902,Purdue,1,10,7,2,1,0.75,0,0,0,0,
Dick Bestwick,1976,1981,Virginia,6,66,16,49,1,0.25,0,0,0,0,
Hugo Bezdek,1908,1929,Penn State,19,164,105,46,13,0.68,2,1,1,0,0.5
Dana Bible,1915,1946,Texas,31,281,190,69,22,0.715,4,3,0,1,0.875
Dana Bible,2012,2012,North Carolina State,1,1,0,1,0,0,1,0,1,0,0
W.B. Bible,1915,1915,Furman,1,8,5,3,0,0.625,0,0,0,0,
Jack Bicknell,1999,2006,Louisiana Tech,8,95,43,52,0,0.453,1,0,1,0,0
Jack Bicknell,1981,1990,Boston College,10,115,59,55,1,0.517,4,2,2,0,0.5
Bret Bielema,2006,2017,Arkansas,12,155,97,58,0,0.626,9,4,5,0,0.444
Bernie Bierman,1925,1950,Iowa Pre-Flight,24,209,144,56,9,0.711,1,0,1,0,0
L. Horatio Biglow,1908,1908,Yale,1,9,7,1,1,0.833,0,0,0,0,
Edward Biles,1962,1968,Xavier,7,70,39,28,3,0.579,0,0,0,0,
G.M. Billings,1916,1916,Wake Forest,1,6,3,3,0,0.5,0,0,0,0,
Mel Binford,1945,1945,Wichita State,1,10,6,4,0,0.6,0,0,0,0,
Paul Bixler,1946,1951,Colgate,6,52,18,30,4,0.385,0,0,0,0,
Liz Blackbourn,1950,1960,Marquette,6,58,24,30,4,0.448,0,0,0,0,
George Blackburn,1955,1970,Virginia,12,119,53,60,6,0.471,0,0,0,0,
Ron Blackledge,1978,1980,Kent State,3,33,8,25,0,0.242,0,0,0,0,
Bob Blackman,1953,1981,Cornell,29,277,164,106,7,0.605,0,0,0,0,
Gary Blackney,1991,2000,Bowling Green State,10,112,60,50,2,0.545,2,2,0,0,1
David Blackwell,2018,2018,East Carolina,1,1,0,1,0,0,0,0,0,0,
Red Blaik,1934,1958,Army,25,228,166,48,14,0.759,0,0,0,0,
John Blake,1996,1998,Oklahoma,3,34,12,22,0,0.353,0,0,0,0,
Larry Blakeney,2001,2014,Troy,14,170,86,84,0,0.506,5,2,3,0,0.4
J.M. Blanchard,1907,1907,Washington (MO),1,6,1,5,0,0.167,0,0,0,0,
Okie Blanchard,1940,1940,Wyoming,1,9,1,7,1,0.167,0,0,0,0,
Bill Blankenship,2011,2014,Tulsa,4,51,24,27,0,0.471,2,1,1,0,0.5
W.C. Bleamaster,1917,1917,Idaho,1,5,2,3,0,0.4,0,0,0,0,
Laurie Bliss,1893,1895,Lehigh,2,18,7,11,0,0.389,0,0,0,0,
Mike Bloomgren,2018,2019,Rice,2,25,5,20,0,0.2,0,0,0,0,
W.B. Blount,1903,1904,Alabama,2,17,10,7,0,0.588,0,0,0,0,
John Bobo,1993,1996,Arkansas State,4,44,13,30,1,0.307,0,0,0,0,
Mike Bobo,2015,2019,Colorado State,5,63,28,35,0,0.444,3,0,3,0,0
Branch Bocock,1908,1926,South Carolina,10,86,58,24,4,0.698,0,0,0,0,
Craig Bohl,2014,2019,Wyoming,6,76,36,40,0,0.474,3,2,1,0,0.667
George Bohler,1928,1929,Auburn,2,14,3,11,0,0.214,0,0,0,0,
Tom Boisture,1967,1968,Holy Cross,2,20,8,11,1,0.425,0,0,0,0,
Daddy Boles,1914,1917,Kentucky,2,19,7,9,3,0.447,0,0,0,0,
John Bonamego,2015,2018,Central Michigan,4,51,22,29,0,0.431,3,0,3,0,0
Jay Bond,1918,1918,Kansas,1,4,2,2,0,0.5,0,0,0,0,
J.R. Boone,1973,1975,Fresno State,3,34,10,24,0,0.294,0,0,0,0,
Walter Booth,1900,1905,Nebraska,6,55,46,8,1,0.845,0,0,0,0,
W.S. Boreland,1902,1902,Louisiana State,1,7,6,1,0,0.857,0,0,0,0,
Bobby Bowden,1970,2009,Florida State,40,485,357,124,4,0.74,33,22,10,1,0.682
Terry Bowden,1993,2018,Akron,13,152,82,69,1,0.543,5,3,2,0,0.6
Tommy Bowden,1997,2008,Clemson,12,139,90,49,0,0.647,8,3,5,0,0.375
Clint Bowen,2014,2014,Kansas,1,8,1,7,0,0.125,0,0,0,0,
Jeff Bower,1990,2007,Southern Mississippi,18,203,118,84,1,0.584,11,6,5,0,0.545
Charles Bowser,1939,1942,Pittsburgh,4,35,14,20,1,0.414,0,0,0,0,
Sam Boyd,1956,1958,Baylor,3,31,15,15,1,0.5,1,1,0,0,1
Robert Boyers,1904,1905,Army,2,18,11,6,1,0.639,0,0,0,0,
Sam Boyle,1899,1900,Dickinson,2,20,9,11,0,0.45,0,0,0,0,
L.W. Boynton,1902,1904,Washington (MO),3,29,15,13,1,0.534,0,0,0,0,
Jim Bradley,1973,1977,New Mexico State,5,55,23,31,1,0.427,0,0,0,0,
Tom Bradley,2011,2011,Penn State,1,4,1,3,0,0.25,1,0,1,0,0
Charley Bradshaw,1962,1968,Kentucky,7,70,25,41,4,0.386,0,0,0,0,
Jim Brakefield,1972,1979,Appalachian State,8,88,40,45,3,0.472,0,0,0,0,
Gregg Brandon,2003,2008,Bowling Green State,6,74,44,30,0,0.595,3,2,1,0,0.667
Brent Brennan,2017,2019,San Jose State,3,37,8,29,0,0.216,0,0,0,0,
Terry Brennan,1954,1958,Notre Dame,5,50,32,18,0,0.64,0,0,0,0,
Billy Brewer,1980,1993,Mississippi,13,148,75,69,4,0.52,5,3,2,0,0.6
J.A. Brewin,1902,1902,Davidson,1,9,3,5,1,0.389,0,0,0,0,
Tim Brewster,2007,2010,Minnesota,4,45,15,30,0,0.333,2,0,2,0,0
Frank Brickey,1946,1946,Northern Arizona,1,9,5,2,2,0.667,0,0,0,0,
A.E. Brides,1909,1910,North Carolina,2,16,8,8,0,0.5,0,0,0,0,
John Bridgers,1959,1968,Baylor,10,103,49,53,1,0.481,3,2,1,0,0.667
Frank Bridges,1920,1925,Baylor,6,59,35,18,6,0.644,0,0,0,0,
Art Briles,2003,2015,Baylor,13,164,99,65,0,0.604,9,3,6,0,0.333
Marty Brill,1940,1941,Loyola Marymount,2,20,8,12,0,0.4,0,0,0,0,
W.H. Britton,1935,1935,Tennessee,1,9,4,5,0,0.444,0,0,0,0,
Stan Brock,2007,2008,Army,2,24,6,18,0,0.25,0,0,0,0,
Jeff Brohm,2014,2019,Purdue,6,78,47,31,0,0.603,5,4,1,0,0.8
Robert Bronzan,1950,1956,San Jose State,7,67,32,30,5,0.515,0,0,0,0,
George Brooke,1903,1915,Pennsylvania,9,82,52,25,5,0.665,0,0,0,0,
J.D. Brookhart,2004,2009,Akron,6,72,30,42,0,0.417,1,0,1,0,0
Rich Brooks,1977,2009,Kentucky,25,290,130,156,4,0.455,8,4,4,0,0.5
William Brooks,1894,1894,Harvard,1,13,11,2,0,0.846,0,0,0,0,
John Brothers,1946,1952,Tulsa,7,74,45,25,4,0.635,1,0,1,0,0
Babe Brown,1945,1946,Idaho,2,17,2,15,0,0.118,0,0,0,0,
Buster Brown,1909,1909,Tulane,1,9,4,3,2,0.556,0,0,0,0,
Charles Brown,1920,1922,Birmingham-Southern,2,18,8,9,1,0.472,0,0,0,0,
Earl Brown,1948,1950,Auburn,3,29,3,22,4,0.172,0,0,0,0,
Fred Brown,1899,1900,Massachusetts,2,20,12,8,0,0.6,0,0,0,0,
Gus Brown,1909,1909,Colgate,1,8,5,2,1,0.688,0,0,0,0,
Mack Brown,1985,2019,Texas,30,369,245,123,1,0.665,22,14,8,0,0.636
Neal Brown,2015,2019,West Virginia,5,63,40,23,0,0.635,3,3,0,0,1
Paul Brown,1941,1945,Great Lakes Navy,5,50,33,14,3,0.69,0,0,0,0,
R.M. Brown,1908,1908,Virginia Tech,1,9,5,4,0,0.556,0,0,0,0,
R.R. Brown,1902,1909,Washington & Lee,4,27,15,9,3,0.611,0,0,0,0,
Robert Brown,1904,1904,North Carolina,1,9,5,2,2,0.667,0,0,0,0,
Watson Brown,1983,2006,Alabama-Birmingham,19,213,75,137,1,0.354,1,0,1,0,0
Willie Brown,1991,1991,Long Beach State,1,11,2,9,0,0.182,0,0,0,0,
Frank Broyles,1957,1976,Arkansas,20,217,149,62,6,0.7,10,4,6,0,0.4
Earle Bruce,1973,1992,Colorado State,19,223,139,82,2,0.628,11,6,5,0,0.545
Milt Bruhn,1956,1966,Wisconsin,11,103,52,45,6,0.534,2,0,2,0,0
Mike Brumbelow,1950,1956,Texas-El Paso,7,73,46,24,3,0.651,3,2,1,0,0.667
Bear Bryant,1945,1982,Alabama,38,425,323,85,17,0.78,29,15,12,2,0.552
Cleve Bryant,1985,1989,Ohio,5,55,9,44,2,0.182,0,0,0,0,
Harry Buckingham,1913,1914,Denver,2,15,10,5,0,0.667,0,0,0,0,
William Bull,1897,1897,Carlisle,1,10,6,4,0,0.6,0,0,0,0,
Matthew Bullock,1904,1904,Massachusetts,1,8,5,2,1,0.688,0,0,0,0,
John Bunting,2001,2006,North Carolina,6,72,27,45,0,0.375,2,1,1,0,0.5
Brian Burke,1979,1984,Ohio,6,66,31,34,1,0.477,0,0,0,0,
Luther Burleson,1907,1907,Baylor,1,8,4,3,1,0.563,0,0,0,0,
Elmer Burnham,1942,1943,Purdue,2,18,10,8,0,0.556,0,0,0,0,
Frank Burns,1973,1983,Rutgers,11,122,78,43,1,0.643,1,0,1,0,0
Jerry Burns,1961,1965,Iowa,5,45,16,27,2,0.378,0,0,0,0,
Keith Burns,2000,2002,Tulsa,3,35,7,28,0,0.2,0,0,0,0,
Leon Burtnett,1982,1986,Purdue,5,56,21,34,1,0.384,1,0,1,0,0
Rickey Bustle,2002,2010,Louisiana,9,106,41,65,0,0.387,0,0,0,0,
Frank Butterworth,1897,1898,Yale,2,22,18,2,2,0.864,0,0,0,0,
Wallace Butts,1939,1960,Georgia,22,235,140,86,9,0.615,8,5,2,1,0.688
Curley Byrd,1917,1934,Maryland,18,172,88,70,14,0.552,0,0,0,0,
Tom Cable,2000,2003,Idaho,4,46,11,35,0,0.239,0,0,0,0,
Brian Cabral,2010,2010,Colorado,1,3,2,1,0,0.667,0,0,0,0,
Chester Caddas,1972,1981,Colorado State,8,84,38,44,2,0.464,0,0,0,0,
Red Cagle,1930,1930,Mississippi State,1,9,2,7,0,0.222,0,0,0,0,
Thomas Cahill,1966,1973,Army,8,81,40,39,2,0.506,0,0,0,0,
Charles Caldwell,1946,1956,Princeton,11,96,68,27,1,0.714,0,0,0,0,
Fred Caldwell,1902,1902,Colorado College,1,7,3,4,0,0.429,0,0,0,0,
Jim Caldwell,1993,2000,Wake Forest,8,89,26,63,0,0.292,1,1,0,0,1
Robbie Caldwell,2010,2010,Vanderbilt,1,12,2,10,0,0.167,0,0,0,0,
Troy Calhoun,2007,2019,Air Force,13,167,98,69,0,0.587,10,5,5,0,0.5
Bill Callahan,2004,2007,Nebraska,4,49,27,22,0,0.551,2,1,1,0,0.5
J.H. Callahan,1900,1900,Trinity (CT),1,8,4,3,1,0.563,0,0,0,0,
Ray Callahan,1969,1972,Cincinnati,4,43,20,23,0,0.465,0,0,0,0,
Tim Callahan,1922,1923,Colorado Mines,2,14,6,7,1,0.464,0,0,0,0,
Leo Calland,1929,1934,Idaho,6,51,21,30,0,0.412,0,0,0,0,
Neil Callaway,2007,2011,Alabama-Birmingham,5,60,18,42,0,0.3,0,0,0,0,
Prink Callison,1932,1937,Oregon,6,58,33,23,2,0.586,0,0,0,0,
Cam Cameron,1997,2001,Indiana,5,55,18,37,0,0.327,0,0,0,0,
Frank Camp,1962,1968,Louisville,7,70,32,38,0,0.457,0,0,0,0,
Jim Camp,1961,1966,George Washington,6,57,22,35,0,0.386,0,0,0,0,
Walter Camp,1888,1892,Yale,5,70,68,2,0,0.971,0,0,0,0,
Nunzio Campanile,2019,2019,Rutgers,1,8,1,7,0,0.125,0,0,0,0,
Matt Campbell,2011,2019,Iowa State,9,101,61,40,0,0.604,6,3,3,0,0.5
Steve Campbell,2018,2019,South Alabama,2,24,5,19,0,0.208,0,0,0,0,
Thomas Campbell,1916,1922,Virginia,3,26,13,11,2,0.538,0,0,0,0,
William Campbell,1974,1979,Columbia,6,54,12,41,1,0.231,0,0,0,0,
Don Campora,1964,1965,Pacific,2,19,2,17,0,0.105,0,0,0,0,
Matt Canada,2018,2018,Maryland,1,12,5,7,0,0.417,0,0,0,0,
Mike Canales,2010,2015,North Texas,2,12,3,9,0,0.25,0,0,0,0,
Jason Candle,2015,2019,Toledo,5,53,34,19,0,0.642,4,1,3,0,0.25
Howard Cann,1932,1933,New York University,2,15,7,7,1,0.5,0,0,0,0,
Jack Cannell,1921,1933,Dartmouth,7,62,39,19,4,0.661,0,0,0,0,
Cappy Cappon,1926,1927,Kansas,2,16,5,10,1,0.344,0,0,0,0,
Ron Caragher,2013,2016,San Jose State,4,49,19,30,0,0.388,1,1,0,0,1
Rod Carey,2012,2019,Temple,8,95,60,35,0,0.632,7,0,7,0,0
Frank Carideo,1932,1934,Missouri,3,27,2,23,2,0.111,0,0,0,0,
Vince Carillot,1969,1969,Tulsa,1,10,1,9,0,0.1,0,0,0,0,
Jim Carlen,1966,1981,South Carolina,16,182,107,69,6,0.604,8,2,5,1,0.313
Jack Carlisle,1979,1981,East Tennessee State,3,33,15,18,0,0.455,0,0,0,0,
Bob Carlson,1951,1952,Wichita State,2,19,5,13,1,0.289,0,0,0,0,
Jim Carmody,1982,1987,Southern Mississippi,6,66,37,29,0,0.561,0,0,0,0,
Clyde Carpenter,1942,1947,Montana State,3,27,9,16,2,0.37,1,0,0,1,0.5
Lloyd Carr,1995,2007,Michigan,13,162,122,40,0,0.753,13,6,7,0,0.462
Pete Carroll,2001,2009,Southern California,9,116,97,19,0,0.836,9,7,2,0,0.778
Bud Carson,1967,1971,Georgia Tech,5,54,27,27,0,0.5,2,1,1,0,0.5
Jules Carson,1936,1936,Wofford,1,9,1,7,1,0.167,0,0,0,0,
F.G. Carter,1916,1916,Colorado Mines,1,6,3,2,1,0.583,0,0,0,0,
Rick Carter,1981,1981,Holy Cross,1,11,6,5,0,0.545,0,0,0,0,
Len Casanova,1946,1966,Oregon,21,209,104,94,11,0.524,4,2,2,0,0.5
Robert Casciola,1973,1977,Princeton,5,45,14,30,1,0.322,0,0,0,0,
Marino Casem,1977,1977,Alcorn State,1,11,3,8,0,0.273,0,0,0,0,
George Cassidy,1910,1910,Colorado State,1,5,0,5,0,0,0,0,0,0,
Miles Casteel,1939,1948,Arizona,7,70,41,26,3,0.607,1,0,1,0,0
Frank Castleman,1906,1907,Colorado,2,17,7,6,4,0.529,0,0,0,0,
Mark Catlin,1906,1908,Iowa,3,17,7,10,0,0.412,0,0,0,0,
Tony Cavallo,1955,1957,New Mexico State,3,30,7,23,0,0.233,0,0,0,0,
Mike Cavan,1997,2001,Southern Methodist,5,56,22,34,0,0.393,0,0,0,0,
Ed Cavanaugh,1980,1982,Army,3,33,10,21,2,0.333,0,0,0,0,
Frank Cavanaugh,1903,1932,Fordham,14,124,86,29,9,0.73,0,0,0,0,
Pete Cawthon,1932,1940,Texas Tech,9,96,67,23,6,0.729,2,0,2,0,0
Francis Cayou,1904,1912,Washington (MO),7,56,26,27,3,0.491,0,0,0,0,
Thomas Cecchini,1972,1973,Xavier,2,21,7,13,1,0.357,0,0,0,0,
Jamey Chadwell,2017,2019,Coastal Carolina,2,24,8,16,0,0.333,0,0,0,0,
Dale Chadwick,1911,1912,Mississippi College,2,13,4,9,0,0.308,0,0,0,0,
George Chadwick,1903,1903,Yale,1,12,11,1,0,0.917,0,0,0,0,
William Chadwick,1909,1913,Mississippi State,5,43,29,12,2,0.698,0,0,0,0,
John Chalmers,1903,1905,Iowa,3,32,24,8,0,0.75,0,0,0,0,
Jim Chaney,2012,2012,Tennessee,1,1,1,0,0,1,0,0,0,0,
George Chaump,1990,1994,Navy,5,55,14,41,0,0.255,0,0,0,0,
John Cherberg,1953,1955,Washington,3,30,10,18,2,0.367,0,0,0,0,
Blair Cherry,1947,1950,Texas,4,43,32,10,1,0.756,3,2,1,0,0.667
Jack Chevigny,1934,1936,Texas,3,29,13,14,2,0.483,0,0,0,0,
