,School,Conference,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State,HomeTeams
95,Tulane,AAC,Willie Fritz,1629000.0,693.0,6.0,75.0,41.0,34.0,0.0,0.547,Tulane,Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,Tulane Green Wave
96,Tulsa,AAC,Philip Montgomery,1518177.0,1370.0,5.0,62.0,25.0,37.0,0.0,0.40299999999999997,Tulsa,Skelly Field at H. A. Chapman Stadium,30000,Tulsa,Oklahoma,Tulsa Golden Hurricane
97,UCLA,Pac-12,Chip Kelly,3300000.0,1042.0,6.0,77.0,53.0,24.0,0.0,0.688,UCLA,Rose Bowl,106869,Pasadena,California,"UCLA Bruins, the Rose Bowl Game, hosted the BCS National Championship game every fourth year, and will host a College Football semifinal game once every three years"
98,Utah,Pac-12,Kyle Whittingham,3787917.0,2080.0,16.0,195.0,131.0,64.0,0.0,0.672,Utah,Rice-Eccles Stadium,45807,Salt Lake City,Utah,Utah Utes
99,Vanderbilt,SEC,Derek Mason,2812523.0,1234.0,6.0,74.0,27.0,47.0,0.0,0.365,Vanderbilt,Vanderbilt Stadium,39790,Nashville,Tennessee,Vanderbilt Commodores
100,Virginia,ACC,Bronco Mendenhall,3550000.0,1322.0,15.0,194.0,124.0,70.0,0.0,0.639,Virginia,Scott Stadium,61500,Charlottesville,Virginia,Virginia Cavaliers
101,Virginia Tech,ACC,Justin Fuente,4000000.0,700.0,8.0,102.0,59.0,43.0,0.0,0.578,Virginia Tech,Lane Stadium,66233,Blacksburg,Virginia,Virginia Tech Hokies
102,Wake Forest,ACC,Dave Clawson,1831580.0,346.0,11.0,140.0,68.0,72.0,0.0,0.486,Wake Forest,BB&T Field,31500,Winston-Salem,North Carolina,Wake Forest Demon Deacons
103,Washington,Pac-12,Chris Petersen,4377500.0,1541.0,14.0,185.0,147.0,38.0,0.0,0.795,Washington,FedExField,91704,Landover,Maryland,Washington Redskins
104,Washington,Pac-12,Chris Petersen,4377500.0,1541.0,14.0,185.0,147.0,38.0,0.0,0.795,Washington,Husky Stadium,70083,Seattle,Washington,Washington Huskies
105,Washington State,Pac-12,Mike Leach,3500000.0,1140.0,18.0,229.0,139.0,90.0,0.0,0.607,Washington State,Martin Stadium,35117,Pullman,Washington,Washington State Cougars
106,West Virginia,Big 12,Dana Holgorsen,3617500.0,909.0,9.0,114.0,65.0,49.0,0.0,0.57,Houston,Mountaineer Field at Milan Puskar Stadium,60540,Morgantown,West Virginia,West Virginia Mountaineers
107,Western Michigan,MAC,Tim Lester,800000.0,1152.0,3.0,38.0,20.0,18.0,0.0,0.526,Western Michigan,Waldo Stadium,30100,Kalamazoo,Michigan,Western Michigan Broncos
108,Wisconsin,Big Ten,Paul Chryst,3750000.0,329.0,8.0,106.0,71.0,35.0,0.0,0.67,Wisconsin,Camp Randall Stadium,80321,Madison,Wisconsin,Wisconsin Badgers
109,Wyoming,Mt. West,Craig Bohl,1412000.0,170.0,6.0,76.0,36.0,40.0,0.0,0.474,Wyoming,War Memorial Stadium,32580,Laramie,Wyoming,Wyoming Cowboys
